source	target	edge	p_value	q_value	abs_rho	dir
22	2	0.514651434598321	0.00132087527516611	0.0410069519193343	0.514651434598321	1
4	2	0.470802657567876	0.00375600026865852	0.0690515953480946	0.470802657567876	1
5	2	0.501136582920604	0.00184994351775458	0.049545664697282	0.501136582920604	1
6	2	0.682359745558543	4.56652197122764e-06	0.0015165419466447	0.682359745558543	1
27	2	0.563986050174172	0.000340600754766829	0.0195023294238041	0.563986050174172	1
23	2	0.520030403782948	0.00115066255776197	0.0374642191600736	0.520030403782948	1
8	2	0.533348011146594	0.000809659483451686	0.031266036564454	0.533348011146594	1
10	2	0.666617449039751	9.04395200085339e-06	0.00231038189191032	0.666617449039751	1
Ruminococcaceae species incertae sedis	2	0.598830337948255	0.000114137747422971	0.0118453580997402	0.598830337948255	1
26	22	0.478502372620597	0.00315691984920985	0.0636558993510947	0.478502372620597	1
2	22	0.514651434598321	0.00132087527516611	0.0410069519193343	0.514651434598321	1
6	22	0.520186182196674	0.00114603578166728	0.0374642191600736	0.520186182196674	1
9	3	0.460607630248677	0.00469936162485185	0.079625407939454	0.460607630248677	1
1	3	0.567408951585866	0.000307562667913652	0.0186332568629046	0.567408951585866	1
26	3	0.576411794896895	0.000233905905383303	0.0161833648287072	0.576411794896895	1
28	3	0.463932994997013	0.00437137887333794	0.0768113716315095	0.463932994997013	1
29	3	0.484801162342547	0.00273046888529782	0.0592202040203775	0.484801162342547	1
6	3	0.576717729674385	0.000231707551468618	0.0161833648287072	0.576717729674385	1
7	3	0.601160553668693	0.000105608716884475	0.0113137596378498	0.601160553668693	1
30	Bifidobacterium adolescentis  	0.49248934339319	0.00227871240395228	0.0536709495994717	0.49248934339319	1
Sutterella species incertae sedis	Bifidobacterium adolescentis  	0.486343312227195	0.0026340595980141	0.0583180795000323	0.486343312227195	1
uncultured Clostridium sp 	Bifidobacterium adolescentis  	0.445197676006206	0.00651183162059765	0.0987479123835836	0.445197676006206	1
31	33	0.705335231554911	1.55771760868006e-06	0.000646647522303312	0.705335231554911	1
32	33	0.565147739409042	0.000329049188994457	0.0191714448535191	0.565147739409042	1
Sutterella species incertae sedis	33	0.555883474721631	0.000431757478166039	0.0212031016334957	0.555883474721631	1
33	31	0.705335231554911	1.55771760868006e-06	0.000646647522303312	0.705335231554911	1
32	31	0.474015612604107	0.00349498721093311	0.066481498757476	0.474015612604107	1
Sutterella species incertae sedis	31	0.474713571640682	0.00344041752445046	0.0660440843855489	0.474713571640682	1
Bifidobacterium adolescentis  	30	0.49248934339319	0.00227871240395228	0.0536709495994717	0.49248934339319	1
34	30	0.456406867677322	0.00514391608690223	0.0854147266230116	0.456406867677322	1
3	28	0.463932994997013	0.00437137887333794	0.0768113716315095	0.463932994997013	1
19	28	0.522001267140494	0.00109332319859123	0.0370585444488883	0.522001267140494	1
35	28	0.606552065427893	8.80328038070921e-05	0.0100381704085481	0.606552065427893	1
36	28	0.557194811467373	0.000415670878254559	0.0212031016334957	0.557194811467373	1
Fusicatenibacter saccharivorans  	28	0.448791959067886	0.00604269598527796	0.0942149923338408	0.448791959067886	1
24	28	0.46119427034025	0.004640002214507	0.0791688841535986	0.46119427034025	1
37	28	0.473910874270616	0.00350324067526597	0.066481498757476	0.473910874270616	1
11	18	0.450743377357995	0.00580038810747263	0.0917289947853172	0.450743377357995	1
Fusicatenibacter saccharivorans  	18	0.451906049916202	0.00566003227811529	0.0905211568668152	0.451906049916202	1
15	18	0.487326281587042	0.0025741700023445	0.0573746213274234	0.487326281587042	1
uncultured Clostridium sp 	18	0.499797694231953	0.00191130451892851	0.0502885070645965	0.499797694231953	1
17	12	0.446873122724966	0.00628939547589091	0.0962538358314918	0.446873122724966	1
11	12	0.56729761440595	0.000308590523173669	0.0186332568629046	0.56729761440595	1
38	12	0.451826867734924	0.00566949732860511	0.0905211568668152	0.451826867734924	1
39	12	0.455174431388432	0.00528103505601307	0.0872553105523354	0.455174431388432	1
13	12	0.513604880231335	0.00135645534034001	0.0410069519193343	0.513604880231335	1
15	12	0.504887257771623	0.00168715254750285	0.0470843160525794	0.504887257771623	1
16	12	0.557761375945807	0.000408887486440745	0.0212031016334957	0.557761375945807	1
Ruminococcaceae species incertae sedis	12	0.555611306117019	0.00043516493634943	0.0212031016334957	0.555611306117019	1
40	12	0.468572582484967	0.00394696036653386	0.0712383444416247	0.468572582484967	1
uncultured Clostridium sp 	12	0.514157734173345	0.0013375560383897	0.0410069519193343	0.514157734173345	1
39	47	0.533600097488193	0.000804178326179628	0.031266036564454	0.533600097488193	1
41	47	0.458512104025796	0.00491678913461868	0.0824679632124679	0.458512104025796	1
Fusicatenibacter saccharivorans  	47	0.473201247973325	0.00355960702508584	0.0667878809622039	0.473201247973325	1
42	47	0.58109575955811	0.000202211946966457	0.0156173459505955	0.58109575955811	1
43	47	0.478091443733757	0.0031866512640919	0.0636558993510947	0.478091443733757	1
44	47	0.586091729803809	0.000172699823859812	0.0140497119537732	0.586091729803809	1
45	47	0.59216425021636	0.00014206670712924	0.0127514468750326	0.59216425021636	1
46	66	0.615675392052857	6.42031249116215e-05	0.00820071453198058	0.615675392052857	1
44	66	0.47071411639233	0.00376342630472903	0.0690515953480946	0.47071411639233	1
12	39	0.455174431388432	0.00528103505601307	0.0872553105523354	0.455174431388432	1
47	39	0.533600097488193	0.000804178326179628	0.031266036564454	0.533600097488193	1
45	39	0.552398519642343	0.0004772370017323	0.0217110148322325	0.552398519642343	1
25	39	0.589985277768489	0.00015244567641215	0.0129813356760192	0.589985277768489	1
9	4	0.476225640102114	0.0033247300891035	0.0648473771927082	0.476225640102114	1
26	4	0.624771527628275	4.64050374253677e-05	0.00724210800448366	0.624771527628275	1
2	4	0.470802657567876	0.00375600026865852	0.0690515953480946	0.470802657567876	1
uncultured Faecalibacterium prausnitzii 	4	0.55881253162158	0.000396563024847474	0.0212031016334957	0.55881253162158	1
23	4	0.489410618648492	0.00245109589546644	0.0550006045192165	0.489410618648492	1
10	4	0.459897186370756	0.00477212575528929	0.0804478661589631	0.459897186370756	1
Ruminococcaceae species incertae sedis	4	0.736493025777102	3.04844283149919e-07	0.00016873131072348	0.736493025777102	1
48	4	0.547359609633239	0.000550537771445203	0.0240570518285463	0.547359609633239	1
uncultured Clostridium sp 	4	0.478081760039421	0.00318735482375176	0.0636558993510947	0.478081760039421	1
49	51	0.444868118540869	0.00655637035581069	0.098971390689306	0.444868118540869	1
50	51	0.465163994518802	0.00425509083337916	0.0752195432431987	0.465163994518802	1
51	49	0.444868118540869	0.00655637035581069	0.098971390689306	0.444868118540869	1
52	49	0.644536059940659	2.20995711142091e-05	0.0048928450446859	0.644536059940659	1
14	49	0.61296590246064	7.05850323758916e-05	0.00868195898223467	0.61296590246064	1
53	49	0.496680023563689	0.00206114627472576	0.0502885070645965	0.496680023563689	1
5	49	0.532728933479182	0.000823260821538607	0.031425852739422	0.532728933479182	1
27	49	0.453539420224974	0.00546779986227808	0.0894510509488941	0.453539420224974	1
54	49	0.462721780748495	0.00448847171239342	0.0776365341503049	0.462721780748495	1
55	49	0.456455244006281	0.00513859705455211	0.0854147266230116	0.456455244006281	1
11	19	0.597308585889695	0.000120037174491383	0.0120801047419965	0.597308585889695	1
56	19	0.478091443733757	0.0031866512640919	0.0636558993510947	0.478091443733757	1
28	19	0.522001267140494	0.00109332319859123	0.0370585444488883	0.522001267140494	1
13	19	0.452380952380952	0.00560354979044542	0.0905211568668152	0.452380952380952	1
35	19	0.449938932100801	0.00589924353527582	0.092850179055218	0.449938932100801	1
49	52	0.644536059940659	2.20995711142091e-05	0.0048928450446859	0.644536059940659	1
14	52	0.469621144555704	0.00385614937096435	0.0699796287484841	0.469621144555704	1
29	52	0.48427645073116	0.00276396616174601	0.0592202040203775	0.48427645073116	1
57	52	0.496515793323705	0.00206931703261315	0.0502885070645965	0.496515793323705	1
Ruminococcaceae species incertae sedis	52	0.473325747932262	0.00354966127732093	0.0667878809622039	0.473325747932262	1
54	52	0.465131375419531	0.00425813734710068	0.0752195432431987	0.465131375419531	1
58	65	0.476613957355152	0.00329557170682393	0.0647609091027353	0.476613957355152	1
59	65	0.482729018774096	0.00286484846638757	0.0604405390829991	0.482729018774096	1
17	13	0.503412528821219	0.00174959484442194	0.0480198717216965	0.503412528821219	1
11	13	0.573750613672671	0.000253830433392332	0.0165288405744301	0.573750613672671	1
12	13	0.513604880231335	0.00135645534034001	0.0410069519193343	0.513604880231335	1
19	13	0.452380952380952	0.00560354979044542	0.0905211568668152	0.452380952380952	1
35	13	0.553233183179581	0.000465972632663014	0.0214929876815815	0.553233183179581	1
Fusicatenibacter saccharivorans  	13	0.484467944353643	0.00275170003683045	0.0592202040203775	0.484467944353643	1
60	13	0.672190334897276	7.13377322814068e-06	0.00197427174088793	0.672190334897276	1
5	68	0.577418494796107	0.000226741637654904	0.0161833648287072	0.577418494796107	1
23	68	0.622619312139139	5.0156122885614e-05	0.00724210800448366	0.622619312139139	1
Ruminococcaceae species incertae sedis	68	0.485527966442068	0.00268465517570249	0.058724429765794	0.485527966442068	1
47	41	0.458512104025796	0.00491678913461868	0.0824679632124679	0.458512104025796	1
46	41	0.525709121759455	0.000992247475894548	0.034334216607529	0.525709121759455	1
61	41	0.561703060209235	0.000364362289434927	0.0205092739527694	0.561703060209235	1
62	41	0.548913138723708	0.00052693867735365	0.0233328446332196	0.548913138723708	1
63	41	0.463523536152609	0.00441066359221631	0.0769936958319036	0.463523536152609	1
42	41	0.594679731771857	0.000130877755279535	0.0127514468750326	0.594679731771857	1
64	41	0.573858511640424	0.000252993957211789	0.0165288405744301	0.573858511640424	1
21	41	0.763224070316787	6.20936386752646e-08	5.15532435101385e-05	0.763224070316787	1
28	35	0.606552065427893	8.80328038070921e-05	0.0100381704085481	0.606552065427893	1
19	35	0.449938932100801	0.00589924353527582	0.092850179055218	0.449938932100801	1
13	35	0.553233183179581	0.000465972632663014	0.0214929876815815	0.553233183179581	1
36	35	0.558248268011134	0.000403137019620692	0.0212031016334957	0.558248268011134	1
63	35	0.518358663576047	0.0012013618981066	0.0387351734331264	0.518358663576047	1
60	35	0.527021615606951	0.000958500904499671	0.0342287210607071	0.527021615606951	1
28	36	0.557194811467373	0.000415670878254559	0.0212031016334957	0.557194811467373	1
35	36	0.558248268011134	0.000403137019620692	0.0212031016334957	0.558248268011134	1
34	36	0.615808594739794	6.39032646487792e-05	0.00820071453198058	0.615808594739794	1
Fusicatenibacter saccharivorans  	36	0.517101087050089	0.00124078865290667	0.0392443725362194	0.517101087050089	1
15	36	0.566040671716961	0.000320409241302944	0.0190014123279835	0.566040671716961	1
42	36	0.549995791242656	0.000511028775619815	0.0229341427545055	0.549995791242656	1
64	36	0.517714348528298	0.00122142185317164	0.0390032882152215	0.517714348528298	1
25	36	0.513114301266183	0.00137342223003256	0.041091308341785	0.513114301266183	1
65	58	0.476613957355152	0.00329557170682393	0.0647609091027353	0.476613957355152	1
uncultured Faecalibacterium prausnitzii 	58	0.475253451220821	0.00339871647721424	0.0656228919815609	0.475253451220821	1
55	58	0.478079607438013	0.00318751123732874	0.0636558993510947	0.478079607438013	1
30	34	0.456406867677322	0.00514391608690223	0.0854147266230116	0.456406867677322	1
36	34	0.615808594739794	6.39032646487792e-05	0.00820071453198058	0.615808594739794	1
15	34	0.496086561247801	0.00209080618610846	0.0503157053917841	0.496086561247801	1
42	34	0.577423808273844	0.000226704351109497	0.0161833648287072	0.577423808273844	1
66	46	0.615675392052857	6.42031249116215e-05	0.00820071453198058	0.615675392052857	1
41	46	0.525709121759455	0.000992247475894548	0.034334216607529	0.525709121759455	1
54	46	0.485478070264814	0.00268777877880177	0.058724429765794	0.485478070264814	1
48	46	0.493096493813683	0.00224599767230549	0.0532782733551895	0.493096493813683	1
45	46	0.461915984257915	0.00456786529482822	0.0786004178452048	0.461915984257915	1
17	14	0.505203410479792	0.00167402376860393	0.0470843160525794	0.505203410479792	1
49	14	0.61296590246064	7.05850323758916e-05	0.00868195898223467	0.61296590246064	1
52	14	0.469621144555704	0.00385614937096435	0.0699796287484841	0.469621144555704	1
53	14	0.498612053508524	0.00196712411909039	0.0502885070645965	0.498612053508524	1
49	53	0.496680023563689	0.00206114627472576	0.0502885070645965	0.496680023563689	1
14	53	0.498612053508524	0.00196712411909039	0.0502885070645965	0.498612053508524	1
uncultured Faecalibacterium prausnitzii 	53	0.47952037775098	0.00308430275478777	0.0636558993510947	0.47952037775098	1
5	53	0.559386125657635	0.000389978453867457	0.0212031016334957	0.559386125657635	1
29	53	0.479221584760971	0.00310546418622248	0.0636558993510947	0.479221584760971	1
23	53	0.545295685742496	0.000583341486196876	0.0248368855853824	0.545295685742496	1
Ruminococcaceae species incertae sedis	53	0.497022258147787	0.00204421019038259	0.0502885070645965	0.497022258147787	1
9	uncultured Faecalibacterium prausnitzii 	0.48388508689143	0.00278918333188205	0.059377422084489	0.48388508689143	1
4	uncultured Faecalibacterium prausnitzii 	0.55881253162158	0.000396563024847474	0.0212031016334957	0.55881253162158	1
58	uncultured Faecalibacterium prausnitzii 	0.475253451220821	0.00339871647721424	0.0656228919815609	0.475253451220821	1
53	uncultured Faecalibacterium prausnitzii 	0.47952037775098	0.00308430275478777	0.0636558993510947	0.47952037775098	1
5	uncultured Faecalibacterium prausnitzii 	0.465163365730515	0.00425514954224093	0.0752195432431987	0.465163365730515	1
67	uncultured Faecalibacterium prausnitzii 	0.521992681719451	0.00109356740620026	0.0370585444488883	0.521992681719451	1
29	uncultured Faecalibacterium prausnitzii 	0.447886196360139	0.00615809031859005	0.0947353946781889	0.447886196360139	1
23	uncultured Faecalibacterium prausnitzii 	0.503036023243638	0.00176585802150964	0.0480689712248648	0.503036023243638	1
8	uncultured Faecalibacterium prausnitzii 	0.444161789721722	0.00665271032182146	0.0993474005564156	0.444161789721722	1
63	uncultured Faecalibacterium prausnitzii 	0.555138861713578	0.000441136699867561	0.0212031016334957	0.555138861713578	1
24	uncultured Faecalibacterium prausnitzii 	0.490184755530097	0.00240671216893462	0.0544599504735544	0.490184755530097	1
50	uncultured Faecalibacterium prausnitzii 	0.445604140823429	0.00645725709110767	0.0983694990805898	0.445604140823429	1
Ruminococcaceae species incertae sedis	uncultured Faecalibacterium prausnitzii 	0.60710740205267	8.63813895333188e-05	0.0100381704085481	0.60710740205267	1
48	uncultured Faecalibacterium prausnitzii 	0.527020550619925	0.000958527870715375	0.0342287210607071	0.527020550619925	1
9	5	0.640071775386115	2.62502204257942e-05	0.00506359387356392	0.640071775386115	1
11	5	0.44402851560699	0.00667102388560092	0.0993474005564156	0.44402851560699	1
26	5	0.472078576433095	0.00365039069129169	0.0681064465493243	0.472078576433095	1
2	5	0.501136582920604	0.00184994351775458	0.049545664697282	0.501136582920604	1
49	5	0.532728933479182	0.000823260821538607	0.031425852739422	0.532728933479182	1
68	5	0.577418494796107	0.000226741637654904	0.0161833648287072	0.577418494796107	1
53	5	0.559386125657635	0.000389978453867457	0.0212031016334957	0.559386125657635	1
uncultured Faecalibacterium prausnitzii 	5	0.465163365730515	0.00425514954224093	0.0752195432431987	0.465163365730515	1
27	5	0.498135663143732	0.00198995153456671	0.0502885070645965	0.498135663143732	1
23	5	0.582412474109481	0.000194024840872276	0.0153418213461149	0.582412474109481	1
Ruminococcaceae species incertae sedis	5	0.568912836235265	0.000293975520468059	0.0184206170466873	0.568912836235265	1
uncultured Faecalibacterium prausnitzii 	67	0.521992681719451	0.00109356740620026	0.0370585444488883	0.521992681719451	1
44	67	0.490532364368347	0.00238701216834425	0.0544599504735544	0.490532364368347	1
54	67	0.541730128524119	0.0006441207293435	0.0264089499030835	0.541730128524119	1
3	29	0.484801162342547	0.00273046888529782	0.0592202040203775	0.484801162342547	1
52	29	0.48427645073116	0.00276396616174601	0.0592202040203775	0.48427645073116	1
53	29	0.479221584760971	0.00310546418622248	0.0636558993510947	0.479221584760971	1
uncultured Faecalibacterium prausnitzii 	29	0.447886196360139	0.00615809031859005	0.0947353946781889	0.447886196360139	1
23	29	0.444107020921625	0.00666023102454849	0.0993474005564156	0.444107020921625	1
24	29	0.626928679282067	4.2901824249153e-05	0.00712384791657186	0.626928679282067	1
60	29	0.4515606370167	0.00570142126098272	0.0905953110417398	0.4515606370167	1
60	6	0.482568103296515	0.00287552098016075	0.0604405390829991	0.482568103296515	1
9	6	0.642287733785637	2.41089379227066e-05	0.00500411142758179	0.642287733785637	1
1	6	0.800107008988792	4.75271066946448e-09	1.57837521332915e-05	0.800107008988792	1
2	6	0.682359745558543	4.56652197122764e-06	0.0015165419466447	0.682359745558543	1
22	6	0.520186182196674	0.00114603578166728	0.0374642191600736	0.520186182196674	1
3	6	0.576717729674385	0.000231707551468618	0.0161833648287072	0.576717729674385	1
7	6	0.555995843402968	0.000430357607632548	0.0212031016334957	0.555995843402968	1
8	6	0.528846153846154	0.000913275114578171	0.0336759241310175	0.528846153846154	1
10	6	0.513552591013095	0.00135825495667774	0.0410069519193343	0.513552591013095	1
Ruminococcaceae species incertae sedis	6	0.507412462618375	0.00158476586994771	0.0453707539146238	0.507412462618375	1
61	69	0.461109103170362	0.00464857946701347	0.0791688841535986	0.461109103170362	1
62	69	0.623137951541605	4.92279440607035e-05	0.00724210800448366	0.623137951541605	1
43	69	0.467069861824503	0.00408033361273286	0.0732475023128963	0.467069861824503	1
20	69	0.491301875313806	0.00234390225024184	0.0544342613500219	0.491301875313806	1
21	69	0.619586191922167	5.5908440882213e-05	0.00773633050707623	0.619586191922167	1
17	Fusicatenibacter saccharivorans  	0.53040649819726	0.000876106039544577	0.0328125104316455	0.53040649819726	1
11	Fusicatenibacter saccharivorans  	0.490201374088578	0.00240576712407936	0.0544599504735544	0.490201374088578	1
26	Fusicatenibacter saccharivorans  	0.496411242028015	0.00207453341398667	0.0502885070645965	0.496411242028015	1
28	Fusicatenibacter saccharivorans  	0.448791959067886	0.00604269598527796	0.0942149923338408	0.448791959067886	1
18	Fusicatenibacter saccharivorans  	0.451906049916202	0.00566003227811529	0.0905211568668152	0.451906049916202	1
47	Fusicatenibacter saccharivorans  	0.473201247973325	0.00355960702508584	0.0667878809622039	0.473201247973325	1
13	Fusicatenibacter saccharivorans  	0.484467944353643	0.00275170003683045	0.0592202040203775	0.484467944353643	1
36	Fusicatenibacter saccharivorans  	0.517101087050089	0.00124078865290667	0.0392443725362194	0.517101087050089	1
15	Fusicatenibacter saccharivorans  	0.657522079630635	1.31823914557572e-05	0.00312705157318354	0.657522079630635	1
42	Fusicatenibacter saccharivorans  	0.476036349894072	0.00333902484190096	0.0648473771927082	0.476036349894072	1
25	Fusicatenibacter saccharivorans  	0.528456703194289	0.000922766966553024	0.0336759241310175	0.528456703194289	1
uncultured Clostridium sp 	Fusicatenibacter saccharivorans  	0.54211069979198	0.000637375909738669	0.0264089499030835	0.54211069979198	1
41	61	0.561703060209235	0.000364362289434927	0.0205092739527694	0.561703060209235	1
69	61	0.461109103170362	0.00464857946701347	0.0791688841535986	0.461109103170362	1
62	61	0.714035947927617	1.00919497070251e-06	0.000478790928243291	0.714035947927617	1
63	61	0.47789425797456	0.00320100427330106	0.0636558993510947	0.47789425797456	1
64	61	0.737011050440674	2.96124730514435e-07	0.00016873131072348	0.737011050440674	1
55	61	0.504279815613429	0.0017126315287701	0.0473970775587126	0.504279815613429	1
21	61	0.678600649031927	5.39608212779541e-06	0.00162912624967351	0.678600649031927	1
17	15	0.514264063549931	0.0013339478753811	0.0410069519193343	0.514264063549931	1
11	15	0.447858475051057	0.00616165168638627	0.0947353946781889	0.447858475051057	1
18	15	0.487326281587042	0.0025741700023445	0.0573746213274234	0.487326281587042	1
12	15	0.504887257771623	0.00168715254750285	0.0470843160525794	0.504887257771623	1
36	15	0.566040671716961	0.000320409241302944	0.0190014123279835	0.566040671716961	1
34	15	0.496086561247801	0.00209080618610846	0.0503157053917841	0.496086561247801	1
Fusicatenibacter saccharivorans  	15	0.657522079630635	1.31823914557572e-05	0.00312705157318354	0.657522079630635	1
45	15	0.509977916088115	0.00148637838924848	0.0433005493920543	0.509977916088115	1
25	15	0.546288152624768	0.000567356715327039	0.0244700214493649	0.546288152624768	1
uncultured Clostridium sp 	15	0.572973148804213	0.00025993123675061	0.0166006084086303	0.572973148804213	1
33	32	0.565147739409042	0.000329049188994457	0.0191714448535191	0.565147739409042	1
31	32	0.474015612604107	0.00349498721093311	0.066481498757476	0.474015612604107	1
Sutterella species incertae sedis	32	0.491717696778986	0.00232089133067315	0.0542794373884896	0.491717696778986	1
41	62	0.548913138723708	0.00052693867735365	0.0233328446332196	0.548913138723708	1
69	62	0.623137951541605	4.92279440607035e-05	0.00724210800448366	0.623137951541605	1
61	62	0.714035947927617	1.00919497070251e-06	0.000478790928243291	0.714035947927617	1
64	62	0.593836046848201	0.000134538886271685	0.0127514468750326	0.593836046848201	1
21	62	0.776294726655572	2.63994071048046e-08	4.3836215497528e-05	0.776294726655572	1
2	27	0.563986050174172	0.000340600754766829	0.0195023294238041	0.563986050174172	1
49	27	0.453539420224974	0.00546779986227808	0.0894510509488941	0.453539420224974	1
5	27	0.498135663143732	0.00198995153456671	0.0502885070645965	0.498135663143732	1
10	27	0.448210728500398	0.00611652897684323	0.0947353946781889	0.448210728500398	1
Ruminococcaceae species incertae sedis	27	0.452135088165355	0.00563273072720571	0.0905211568668152	0.452135088165355	1
40	27	0.470262456241779	0.00380150603070484	0.0693670413624767	0.470262456241779	1
17	16	0.499323867168719	0.00193344334747536	0.0502885070645965	0.499323867168719	1
12	16	0.557761375945807	0.000408887486440745	0.0212031016334957	0.557761375945807	1
70	16	0.453106724520211	0.00551816810010952	0.0898325306885477	0.453106724520211	1
Ruminococcaceae species incertae sedis	16	0.530268110466364	0.000879347614699322	0.0328125104316455	0.530268110466364	1
26	23	0.510571936141507	0.00146437832098822	0.0430371717168309	0.510571936141507	1
2	23	0.520030403782948	0.00115066255776197	0.0374642191600736	0.520030403782948	1
4	23	0.489410618648492	0.00245109589546644	0.0550006045192165	0.489410618648492	1
68	23	0.622619312139139	5.0156122885614e-05	0.00724210800448366	0.622619312139139	1
53	23	0.545295685742496	0.000583341486196876	0.0248368855853824	0.545295685742496	1
uncultured Faecalibacterium prausnitzii 	23	0.503036023243638	0.00176585802150964	0.0480689712248648	0.503036023243638	1
5	23	0.582412474109481	0.000194024840872276	0.0153418213461149	0.582412474109481	1
29	23	0.444107020921625	0.00666023102454849	0.0993474005564156	0.444107020921625	1
Ruminococcaceae species incertae sedis	23	0.553648604459831	0.000460454958147505	0.0214929876815815	0.553648604459831	1
16	70	0.453106724520211	0.00551816810010952	0.0898325306885477	0.453106724520211	1
9	7	0.535418810247392	0.00076559788576791	0.030268459269467	0.535418810247392	1
1	7	0.701413023908576	1.88492454400446e-06	0.000695537156737647	0.701413023908576	1
3	7	0.601160553668693	0.000105608716884475	0.0113137596378498	0.601160553668693	1
6	7	0.555995843402968	0.000430357607632548	0.0212031016334957	0.555995843402968	1
8	7	0.470751629425854	0.00376027849585014	0.0690515953480946	0.470751629425854	1
