"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.324675324675325","0.0014289215758798808","0.30078125","0.6666666666666666","7","7","false","1","8.285714285714286","0","7","0","0.8708513708513708","false","0","1","48","0.43609022556390975"
"2.74025974025974","0.020975745255397832","0.36492890995260663","0.4888888888888889","10","6","false","9","10.0","0","10","0","0.9033189033189033","false","0","9","670","0.2857142857142857"
"2.831168831168831","0.01771663435460758","0.353211009174312","0.4393939393939394","12","6","false","2","8.916666666666666","0","12","0","0.8982683982683982","false","0","2","684","0.2972222222222222"
"2.9740259740259742","0.02080812984692737","0.3362445414847161","0.2857142857142857","7","6","false","3","8.0","0","7","0","0.8903318903318903","false","0","3","578","0.32919254658385094"
"2.5974025974025974","0.04861435403386217","0.385","0.4722222222222222","9","5","false","4","10.444444444444445","0","9","0","0.9112554112554112","false","0","4","1038","0.29012345679012347"
"2.4155844155844157","0.16777907886998192","0.4139784946236559","0.18681318681318682","14","5","false","uncultured Faecalibacterium prausnitzii ","7.214285714285714","0","14","0","0.9213564213564214","false","0","uncultured Faecalibacterium prausnitzii ","2726","0.1649659863945578"
"2.5584415584415585","0.04741846197255193","0.39086294416243655","0.36363636363636365","11","5","false","5","9.636363636363637","0","11","0","0.9134199134199135","false","0","5","1236","0.23863636363636365"
"2.896103896103896","0.03374247178743368","0.3452914798206278","0.4","10","6","false","6","8.1","0","10","0","0.8946608946608947","false","0","6","680","0.27586206896551724"
"3.3766233766233764","2.2377372001432155E-4","0.29615384615384616","0.9","5","7","false","7","8.2","0","5","0","0.8679653679653679","false","0","7","8","0.4823529411764706"
"3.012987012987013","0.015827011923456535","0.3318965517241379","0.47619047619047616","7","6","false","8","8.857142857142858","0","7","0","0.8881673881673882","false","0","8","408","0.33516483516483514"
"2.4285714285714284","0.12691094404948938","0.411764705882353","0.24183006535947713","18","5","false","Ruminococcaceae species incertae sedis","8.055555555555555","0","18","0","0.9206349206349207","false","0","Ruminococcaceae species incertae sedis","3038","0.19047619047619047"
"2.948051948051948","0.005251191428028669","0.3392070484581498","0.5714285714285714","7","6","false","10","10.285714285714286","0","7","0","0.8917748917748918","false","0","10","274","0.38095238095238093"
"2.5714285714285716","0.04555698501072363","0.38888888888888884","0.4444444444444444","9","5","false","11","8.666666666666666","0","9","0","0.9126984126984126","false","0","11","1006","0.24444444444444444"
"2.5194805194805197","0.04757245712377455","0.39690721649484534","0.4166666666666667","9","5","false","17","9.333333333333334","0","9","0","0.9155844155844155","false","0","17","1292","0.23646723646723647"
"2.5584415584415585","0.05756534350504238","0.39086294416243655","0.28888888888888886","10","5","false","12","7.9","0","10","0","0.9134199134199135","false","0","12","1404","0.20810810810810812"
"2.8701298701298703","0.022154822309515265","0.34841628959276016","0.38095238095238093","7","6","false","13","8.0","0","7","0","0.8961038961038962","false","0","13","590","0.2857142857142857"
"3.051948051948052","0.010200088584301123","0.3276595744680851","0.3333333333333333","4","5","false","14","7.5","0","4","0","0.886002886002886","false","0","14","324","0.3625"
"2.5454545454545454","0.09758051010719586","0.39285714285714285","0.2727272727272727","12","6","false","Fusicatenibacter saccharivorans  ","7.75","0","12","0","0.914141414141414","false","0","Fusicatenibacter saccharivorans  ","2264","0.20394736842105263"
"2.7012987012987013","0.06534979968081729","0.3701923076923077","0.35555555555555557","10","6","false","15","7.7","0","10","0","0.9054834054834056","false","0","15","1604","0.25333333333333335"
"3.0","0.025974025974025976","0.3333333333333333","0.5","4","5","false","16","9.5","0","4","0","0.8888888888888888","false","0","16","382","0.3557692307692308"
"2.5844155844155843","0.14552218144092605","0.3869346733668342","0.3333333333333333","10","5","false","uncultured Clostridium sp ","8.0","0","10","0","0.911976911976912","false","0","uncultured Clostridium sp ","2828","0.2257142857142857"
"3.090909090909091","0.0","0.3235294117647059","1.0","4","6","false","18","10.25","0","4","0","0.8838383838383839","false","0","18","0","0.5125"
"3.116883116883117","0.022837397983837826","0.3208333333333333","0.3","5","6","false","19","6.4","0","5","0","0.8823953823953824","false","0","19","382","0.3263157894736842"
"3.6103896103896105","0.009557322846077028","0.27697841726618705","0.3333333333333333","3","6","false","56","5.333333333333333","0","3","0","0.854978354978355","false","0","56","162","0.4166666666666667"
"3.9740259740259742","7.471329839750892E-4","0.25163398692810457","0.6666666666666666","3","7","false","20","5.333333333333333","0","3","0","0.8347763347763348","false","0","20","14","0.5333333333333333"
"3.1818181818181817","0.04873638720726538","0.3142857142857143","0.35714285714285715","8","7","false","21","5.375","0","8","0","0.8787878787878788","false","0","21","722","0.27631578947368424"
"2.6103896103896105","0.056362322228944016","0.38308457711442784","0.3333333333333333","10","5","false","26","9.8","0","10","0","0.9105339105339105","false","0","26","1618","0.26944444444444443"
"3.3376623376623376","4.795717078067693E-4","0.29961089494163423","0.6666666666666666","3","6","false","22","10.666666666666666","0","3","0","0.8701298701298702","false","0","22","32","0.6274509803921569"
"2.727272727272727","0.011246395513727534","0.3666666666666667","0.5277777777777778","9","6","false","23","10.11111111111111","0","9","0","0.9040404040404041","false","0","23","400","0.2973856209150327"
"3.0259740259740258","0.014537842311261859","0.33047210300429186","0.0","4","5","false","38","6.75","0","4","0","0.8874458874458875","false","0","38","378","0.2875"
